train,validation
2.0337282963114314,1.8698542391531092
2.022822473586645,1.9059195084157488
1.9948002601489692,1.8267081045644782
1.886296319263607,1.763207781877755
1.8000868085936945,1.5517272783678049
1.6771849760347008,1.389727310482834
1.568777567465872,1.4217632740327986
1.5016635668629215,1.3292578139695483
1.417512528309761,1.164623914433778
1.347589937893731,1.327127648036085
1.3180833180767706,1.0917953259787037
1.2656823245907491,1.0640230868474903
1.22961090749632,1.0580772023755234
1.1855556504951321,1.115074409514907
1.167757831223247,1.1441036595516145
1.1315600689206022,1.0421539126044714
1.0890620231828785,1.014149956394754
1.0672495459899138,1.092172513089056
1.0505205293239035,0.9225440452671078
1.020294170359936,0.9519896233638061
1.0174033833498446,0.9053798858414618
0.9897235312943733,0.9579832580010296
0.9479563307950823,0.9972338572198634
0.9529701682881603,0.8822670847918608
0.9230880364791311,0.8604844766443887
0.9192899377608685,0.8293360703882141
0.8926240881623586,0.9236300590818373
0.8711927411928423,0.9591130397695508
0.859870222525834,0.8558679615262168
0.8516775860456837,0.914132181760085
0.8215555734757625,0.8544470886589263
0.8145398480967819,0.8588799906363198
0.8091502104898204,0.9086734596395266
0.8002107677752585,0.8158199944270327
0.780466899491799,0.8750742104307304
0.7730901068987921,0.8764421845754787
0.7625805213927421,0.8669343511962997
0.7626382483471942,0.821710571317774
0.7431405090331463,0.8575052868956858
0.7239477310004342,0.8083958991348626
